AC,Meth level,Gamma mew,Gamma sigma,Num sites,Type
50,0,1.62e-09,5.38e-12,1.0,Data
50,0,1.62e-09,5.38e-12,1.2283822445381536,Theory
51,0,1.62e-09,5.38e-12,1.0,Data
51,0,1.62e-09,5.38e-12,1.3931511535116452,Theory
52,0,1.62e-09,5.38e-12,0.0,Data
52,0,1.62e-09,5.38e-12,1.238846630914153,Theory
53,0,1.62e-09,5.38e-12,0.0,Data
53,0,1.62e-09,5.38e-12,1.1226472125923166,Theory
54,0,1.62e-09,5.38e-12,1.0,Data
54,0,1.62e-09,5.38e-12,1.1768265893800343,Theory
55,0,1.62e-09,5.38e-12,1.0,Data
55,0,1.62e-09,5.38e-12,1.11134719579218,Theory
56,0,1.62e-09,5.38e-12,1.0,Data
56,0,1.62e-09,5.38e-12,1.2020240896996548,Theory
57,0,1.62e-09,5.38e-12,1.0,Data
57,0,1.62e-09,5.38e-12,0.982954075618325,Theory
58,0,1.62e-09,5.38e-12,0.0,Data
58,0,1.62e-09,5.38e-12,1.0446284517099946,Theory
59,0,1.62e-09,5.38e-12,1.0,Data
59,0,1.62e-09,5.38e-12,0.8831675090425783,Theory
60,0,1.62e-09,5.38e-12,0.0,Data
60,0,1.62e-09,5.38e-12,1.0038866052510296,Theory
61,0,1.62e-09,5.38e-12,3.0,Data
61,0,1.62e-09,5.38e-12,0.9918374992038116,Theory
62,0,1.62e-09,5.38e-12,0.0,Data
62,0,1.62e-09,5.38e-12,0.9242228938351343,Theory
63,0,1.62e-09,5.38e-12,3.0,Data
63,0,1.62e-09,5.38e-12,0.9048990913453764,Theory
64,0,1.62e-09,5.38e-12,1.0,Data
64,0,1.62e-09,5.38e-12,0.8191302232654093,Theory
65,0,1.62e-09,5.38e-12,0.0,Data
65,0,1.62e-09,5.38e-12,0.9373270547711293,Theory
66,0,1.62e-09,5.38e-12,1.0,Data
66,0,1.62e-09,5.38e-12,0.8570538744345579,Theory
67,0,1.62e-09,5.38e-12,0.0,Data
67,0,1.62e-09,5.38e-12,0.7408965365105253,Theory
68,0,1.62e-09,5.38e-12,0.0,Data
68,0,1.62e-09,5.38e-12,0.8286558672531901,Theory
69,0,1.62e-09,5.38e-12,2.0,Data
69,0,1.62e-09,5.38e-12,0.7371944952706898,Theory
70,0,1.62e-09,5.38e-12,1.0,Data
70,0,1.62e-09,5.38e-12,0.7254852669039679,Theory
71,0,1.62e-09,5.38e-12,0.0,Data
71,0,1.62e-09,5.38e-12,0.7655167303220393,Theory
72,0,1.62e-09,5.38e-12,1.0,Data
72,0,1.62e-09,5.38e-12,0.7110857676501195,Theory
73,0,1.62e-09,5.38e-12,0.0,Data
73,0,1.62e-09,5.38e-12,0.7224101383048784,Theory
74,0,1.62e-09,5.38e-12,0.0,Data
74,0,1.62e-09,5.38e-12,0.6039197806856306,Theory
75,0,1.62e-09,5.38e-12,1.0,Data
75,0,1.62e-09,5.38e-12,0.6243123946649197,Theory
76,0,1.62e-09,5.38e-12,0.0,Data
76,0,1.62e-09,5.38e-12,0.6063084832094284,Theory
77,0,1.62e-09,5.38e-12,1.0,Data
77,0,1.62e-09,5.38e-12,0.5859684051275952,Theory
78,0,1.62e-09,5.38e-12,1.0,Data
78,0,1.62e-09,5.38e-12,0.6000441876105885,Theory
79,0,1.62e-09,5.38e-12,0.0,Data
79,0,1.62e-09,5.38e-12,0.5803918158827375,Theory
80,0,1.62e-09,5.38e-12,1.0,Data
80,0,1.62e-09,5.38e-12,0.6153701680481153,Theory
81,0,1.62e-09,5.38e-12,0.0,Data
81,0,1.62e-09,5.38e-12,0.554179578449208,Theory
82,0,1.62e-09,5.38e-12,1.0,Data
82,0,1.62e-09,5.38e-12,0.5760735267349952,Theory
83,0,1.62e-09,5.38e-12,3.0,Data
83,0,1.62e-09,5.38e-12,0.5583615222994613,Theory
84,0,1.62e-09,5.38e-12,1.0,Data
84,0,1.62e-09,5.38e-12,0.5384827641715757,Theory
85,0,1.62e-09,5.38e-12,0.0,Data
85,0,1.62e-09,5.38e-12,0.49555271858790817,Theory
86,0,1.62e-09,5.38e-12,3.0,Data
86,0,1.62e-09,5.38e-12,0.4762820875447592,Theory
87,0,1.62e-09,5.38e-12,0.0,Data
87,0,1.62e-09,5.38e-12,0.45131661811314006,Theory
88,0,1.62e-09,5.38e-12,0.0,Data
88,0,1.62e-09,5.38e-12,0.4419496187051052,Theory
89,0,1.62e-09,5.38e-12,0.0,Data
89,0,1.62e-09,5.38e-12,0.5127830977497684,Theory
90,0,1.62e-09,5.38e-12,0.0,Data
90,0,1.62e-09,5.38e-12,0.49302377712327444,Theory
91,0,1.62e-09,5.38e-12,0.0,Data
91,0,1.62e-09,5.38e-12,0.4006078703237441,Theory
92,0,1.62e-09,5.38e-12,3.0,Data
92,0,1.62e-09,5.38e-12,0.4231966126767448,Theory
93,0,1.62e-09,5.38e-12,0.0,Data
93,0,1.62e-09,5.38e-12,0.4266360352360199,Theory
94,0,1.62e-09,5.38e-12,1.0,Data
94,0,1.62e-09,5.38e-12,0.4336220199413102,Theory
95,0,1.62e-09,5.38e-12,1.0,Data
95,0,1.62e-09,5.38e-12,0.39506066600075057,Theory
96,0,1.62e-09,5.38e-12,0.0,Data
96,0,1.62e-09,5.38e-12,0.38059723274820917,Theory
97,0,1.62e-09,5.38e-12,0.0,Data
97,0,1.62e-09,5.38e-12,0.360660333618869,Theory
98,0,1.62e-09,5.38e-12,1.0,Data
98,0,1.62e-09,5.38e-12,0.45115869227541916,Theory
99,0,1.62e-09,5.38e-12,0.0,Data
99,0,1.62e-09,5.38e-12,0.3804143118057738,Theory
100,0,1.62e-09,5.38e-12,0.0,Data
100,0,1.62e-09,5.38e-12,0.4054125046737814,Theory
101,0,1.62e-09,5.38e-12,1.0,Data
101,0,1.62e-09,5.38e-12,0.3908811067648662,Theory
102,0,1.62e-09,5.38e-12,0.0,Data
