Count,pred prob
1,0.5743653809111564
2,0.12750741664578005
3,0.06195715457410983
4,0.03760799152522567
5,0.026007235873810264
6,0.018972485800541786
7,0.014731337379221386
8,0.011943484401996588
9,0.009802683134715539
10,0.008222177648412893
11,0.006922902130193465
12,0.005902335005959126
13,0.005278869669723403
14,0.0046176477093441415
15,0.004109552229873189
16,0.0037059055981917034
17,0.0032714656807156066
18,0.0030494640564839633
19,0.002750652499865338
20,0.0025218612693401394
21,0.002308857595945254
22,0.0021213576864717947
23,0.0019856356525122278
24,0.0018358935164249116
25,0.0016902198180424896
26,0.001575304047447153
27,0.0014804123742825173
28,0.0014190530260479632
29,0.0012888376750069678
30,0.0011756194365449505
31,0.0011500173552314971
32,0.0011178024646309327
33,0.0010504068653615548
34,0.0009981615014303994
35,0.0008777344890369848
36,0.0009147799301785533
37,0.0008777580251967772
38,0.0008041043845666395
39,0.0007616507660881675
40,0.0007578286084147005
41,0.0006642675295927323
42,0.0006538312094247577
43,0.000658674023723195
44,0.0006139458386656676
45,0.0005540558546403341
46,0.0005363701107240405
47,0.0005288470424921572
48,0.0005344124307390749
49,0.00047910946200521726
50,0.00044329750700127646
51,0.0005091397304203041
52,0.00044780133767697563
53,0.00040489918134857495
54,0.0004280027400230711
55,0.0004025381889969342
56,0.00043878842044274666
57,0.00035308184501280137
58,0.00037998580780176987
59,0.00031728620773473334
60,0.00036646619665519394
61,0.0003607565056930504
62,0.0003347594981623423
63,0.0003283244061171938
64,0.00029566847208807096
65,0.0003428611840633954
66,0.00031054534358115844
67,0.0002665767751393838
68,0.00030239709991284095
69,0.0002662343261692159
70,0.00026297702154451125
71,0.0002789568935661226
72,0.00025754605925815404
73,0.0002627171225759868
74,0.00021688315957785152
75,0.00022651408939584598
76,0.00021967318234678511
77,0.00021221837396151938
78,0.00021812731976107564
79,0.00021050316110062239
80,0.00022440325664411286
81,0.00020035312132046814
82,0.00020966874168731927
83,0.00020270186383084375
84,0.00019529930151762206
85,0.00017904841128112348
86,0.0001723026765021733
87,0.00016310174135198633
88,0.0001599923709337622
89,0.000187734781725064
90,0.00017924808490721222
91,0.00014362943997186416
92,0.00015368471477479557
93,0.00015499305934503843
94,0.00015773986423012632
95,0.00014277086902276156
96,0.00013773326302493657
97,0.00013035326623052354
98,0.0001657992810312517
99,0.00013728983678200146
100,0.0001477789220802096
101,0.00014194459464469546
102,0.00012661939647917652
103,0.00011738503481481367
104,0.00013020490396191853
105,0.0001284140587462444
106,0.00013509786895344727
107,0.00010963219539287291
108,0.000115845564820769
109,0.00010504926560984859
110,0.00011934702920019392
111,0.00012477829898626262
112,0.00010767443650806826
113,0.00010136757898603062
114,0.0001088074018185649
115,0.00012245963013989057
116,0.00010084376821214774
117,9.764192029144247e-05
118,0.00011284417977572652
119,7.69200091908256e-05
120,0.00010338001704783175
121,0.00010000437964035903
122,0.00010169943428113004
123,8.756014667342585e-05
124,0.00010623847434132943
125,7.387953826185794e-05
126,9.854820939435883e-05
127,9.19614373693845e-05
128,7.089228495144213e-05
129,7.163684950433015e-05
130,9.075080174097351e-05
131,8.714149594162168e-05
132,9.890520012669218e-05
133,8.569678175127081e-05
134,7.47728631798813e-05
135,7.758334362782928e-05
136,5.834158438502557e-05
137,8.555474514913001e-05
138,7.361400382566914e-05
139,7.095099462898345e-05
140,6.504030181192697e-05
141,5.759677166765127e-05
142,5.069511368717112e-05
143,7.075229412601502e-05
144,7.58270738504422e-05
145,6.942792376788411e-05
146,6.679702353093758e-05
147,5.6228951462574185e-05
148,7.45806376359197e-05
149,7.391366801440491e-05
150,5.9675321707297975e-05
151,7.210659228708398e-05
152,6.087910941329766e-05
153,7.065197789344215e-05
154,6.296536238321331e-05
155,5.9279179688297254e-05
156,4.56087825492858e-05
157,6.41616063093694e-05
158,6.585556398342828e-05
159,5.770734479910432e-05
160,4.7459823071293874e-05
161,5.199530155593762e-05
162,6.30949356223676e-05
163,5.374877283170477e-05
164,5.7269989497900226e-05
165,5.580592134915627e-05
166,5.140249365892054e-05
167,5.2595112117171755e-05
168,5.942194427607514e-05
169,4.760280288664802e-05
170,5.119053250738124e-05
171,4.9918032299902165e-05
172,4.145125383165451e-05
173,4.965915635483847e-05
174,4.739396155483463e-05
175,6.102025405248777e-05
176,4.725511574102842e-05
177,3.936460389656913e-05
178,4.637788849612092e-05
179,4.762584199073982e-05
180,4.780430837646934e-05
181,4.7254871380840536e-05
182,4.55633582332534e-05
183,4.408567012096987e-05
184,4.184024509159165e-05
185,4.394831878533032e-05
186,3.5026285425945574e-05
187,5.477147536066968e-05
188,4.256962683854772e-05
189,4.3890719071180666e-05
190,4.797151980635994e-05
191,3.67642669063984e-05
192,4.3976899696517516e-05
193,3.324819216323677e-05
194,4.5549687245423954e-05
195,2.7435040477209865e-05
196,3.9414818287778546e-05
197,3.799405085237808e-05
198,4.0871452984717243e-05
199,2.6143746076772584e-05
200,3.82333183479216e-05
201,5.2529534741901277e-05
202,3.3571510929417977e-05
203,4.199086556671567e-05
204,3.3498592828138125e-05
205,3.563114307017597e-05
206,4.175855060953005e-05
207,3.859320764411739e-05
208,4.1877165276283184e-05
209,4.236087309661336e-05
210,2.5918705758704575e-05
211,2.6425043164498734e-05
212,3.5040061938700184e-05
213,3.156681030350384e-05
214,4.3055724483657515e-05
215,2.2846205793543337e-05
216,2.8971389625140163e-05
217,3.2109136233427236e-05
218,3.0360285942966635e-05
219,2.831956001498634e-05
220,3.024391535310158e-05
221,3.580720087277412e-05
222,3.4310633312361404e-05
223,3.77142068652447e-05
224,2.9263849122074493e-05
225,2.74936041055929e-05
226,2.4091906348230456e-05
227,3.0552498654384245e-05
228,2.47370574467607e-05
229,2.4490559044659036e-05
230,3.0929563060520905e-05
231,3.36935648236185e-05
232,2.733378900114764e-05
233,2.52535278881082e-05
234,3.554577884921901e-05
235,2.7204908417445412e-05
236,2.9802314536087514e-05
237,3.224520185096376e-05
238,3.1495090497082e-05
239,3.776817762421774e-05
240,1.7559172082127108e-05
241,2.9551075588156393e-05
242,3.170230753875162e-05
243,2.128407400554418e-05
244,3.8708355136736624e-05
245,2.5339657651118946e-05
246,2.090456014139954e-05
247,2.12900071327535e-05
248,2.4402190141395787e-05
249,3.399022318309917e-05
250,2.0955971537814762e-05
251,2.0902932677260308e-05
252,1.9892988909611932e-05
253,2.3447362398561963e-05
254,2.2089953033592092e-05
255,2.2869276225460552e-05
256,3.177253321914454e-05
257,1.8406219477887554e-05
258,2.258417320386988e-05
259,2.4243739936625665e-05
260,2.4970128073122257e-05
261,2.0724227326657857e-05
262,1.7672330929667553e-05
263,1.7682670049673773e-05
264,1.5679624747966254e-05
265,2.4755549613184997e-05
266,2.5042159008804643e-05
267,2.1826885626576626e-05
268,3.3053654907417546e-05
269,2.052896701541169e-05
270,1.59847361056879e-05
271,2.4224040350433627e-05
272,1.764284264614981e-05
273,2.3976073076175738e-05
274,1.6706358942739374e-05
275,2.233345965305075e-05
276,2.3152087074268217e-05
277,2.1292942153551904e-05
278,2.361936796827881e-05
279,1.5842448639017336e-05
280,1.8685573073944684e-05
281,1.7085806439446407e-05
282,2.0865287558035436e-05
283,2.5139867268078226e-05
284,1.2737199692705954e-05
285,1.8202499897322477e-05
286,2.0122888814455807e-05
287,1.9921594806967495e-05
288,1.6191203682952457e-05
289,1.8506775077453372e-05
290,2.5963207315806973e-05
291,1.6486660429572976e-05
292,2.005849082964172e-05
293,2.6954928753390834e-05
294,1.37289290235661e-05
295,1.912994719019747e-05
296,1.5965815546593373e-05
297,1.943171045666156e-05
298,1.0409306957580075e-05
299,1.6028996133669938e-05
300,1.831642540410339e-05
